,Unnamed: 0,boro_cd,rentChange,articles,c,cd_name,boro_name
0,1,101,0.505952380952381,13,Manhattan,Financial District,Manhattan
1,2,102,0.505952380952381,13,Manhattan,Greenwich Village/Soho,Manhattan
2,3,103,0.346153846153846,13,Manhattan,Lower East Side/Chinatown,Manhattan
3,4,104,0.559440559440559,20,Manhattan,Clinton/Chelsea,Manhattan
4,5,105,0.559440559440559,20,Manhattan,Midtown,Manhattan
5,6,106,0.46242774566474,0,Manhattan,Stuyvesant Town/Turtle Bay,Manhattan
6,7,107,0.5,7,Manhattan,Upper West Side,Manhattan
7,8,108,0.264044943820225,4,Manhattan,Upper East Side,Manhattan
8,9,109,0.409090909090909,4,Manhattan,Morningside Heights/Hamilton,Manhattan
9,10,110,0.394366197183099,0,Manhattan,Central Harlem,Manhattan
10,11,111,0.23943661971831,0,Manhattan,East Harlem,Manhattan
11,12,112,0.41304347826087,2,Manhattan,Washington Heights/Inwood,Manhattan
12,13,201,0.727272727272727,4,Bronx,Mott Haven/Melrose,Bronx
13,14,202,0.727272727272727,4,Bronx,Hunts Point/Longwood,Bronx
14,15,203,0.405797101449275,0,Bronx,Morrisania/Crotona,Bronx
15,16,204,0.275862068965517,0,Bronx,Highbridge/Concourse,Bronx
16,17,205,0.258426966292135,2,Bronx,Fordham/University Heights,Bronx
17,18,206,0.405797101449275,0,Bronx,Belmont/East Tremont,Bronx
18,19,207,0.214285714285714,0,Bronx,Kingsbridge Heights/Bedford,Bronx
19,20,208,0.235849056603774,0,Bronx,Riverdale/Fieldston,Bronx
20,21,209,0.306818181818182,1,Bronx,Parkchester/Soundview,Bronx
21,22,210,0.263157894736842,0,Bronx,Throgs Neck/Co-op City,Bronx
23,24,212,0.25,2,Bronx,Williamsbridge/Baychester,Bronx
24,25,301,1,38,Brooklyn,Greenpoint/Williamsburg,Brooklyn
25,26,302,0.826530612244898,34,Brooklyn,Fort Greene/Brooklyn Heights,Brooklyn
26,27,303,0.675324675324675,16,Brooklyn,Bedford Stuyvesant,Brooklyn
27,28,304,0.602272727272727,0,Brooklyn,Bushwick,Brooklyn
28,29,305,0.269662921348315,10,Brooklyn,East New York/Starret City,Brooklyn
29,30,306,0.598425196850394,19,Brooklyn,Park Slope/Carroll Gardens,Brooklyn
30,31,307,0.372549019607843,2,Brooklyn,Sunset Park,Brooklyn
32,33,309,0.354166666666667,2,Brooklyn,South Crown Heights/Lefferts Gardens,Brooklyn
34,35,311,0.29126213592233,0,Brooklyn,Bensonhurst,Brooklyn
35,36,312,0.371428571428571,3,Brooklyn,Borough Park,Brooklyn
36,37,313,0.195121951219512,1,Brooklyn,Coney Island,Brooklyn
37,38,314,0.32,6,Brooklyn,Flatbush/Midwood,Brooklyn
38,39,315,0.274509803921569,3,Brooklyn,Sheepshead Bay,Brooklyn
39,40,316,0.347222222222222,5,Brooklyn,Brownsville,Brooklyn
40,41,317,0.323232323232323,3,Brooklyn,East Flatbush,Brooklyn
41,42,318,0.20353982300885,4,Brooklyn,Flatlands/Canarsie,Brooklyn
42,43,401,0.416666666666667,8,Queens,Astoria,Bronx
43,43,401,0.416666666666667,8,Queens,Astoria,Queens
44,44,402,0.389380530973451,6,Queens,Woodside/Sunnyside,Queens
45,45,403,0.289473684210526,0,Queens,Jackson Heights,Queens
46,46,404,0.263636363636364,0,Queens,Elmhurst/Corana,Queens
47,47,405,,4,Queens,Ridgewood/Maspeth,Queens
48,48,406,0.286885245901639,2,Queens,Rego Park/Forest Hills,Queens
49,49,407,0.258333333333333,6,Queens,Flushing/Whitestone,Queens
50,50,408,0.381818181818182,1,Queens,Hillcrest/Fresh Meadows,Queens
51,51,409,,2,Queens,Kew Gardens/Woodhaven,Queens
52,52,410,0.274336283185841,2,Queens,South Ozone Park/Howard Beach,Queens
53,53,411,0.253846153846154,0,Queens,Bayside/Little Neck,Queens
54,54,412,0.237623762376238,4,Queens,Jamaica/Hollis,Queens
55,55,413,0.247933884297521,4,Queens,Queens Village,Queens
56,56,414,0.253012048192771,0,Queens,Rockaway/Broad Channel,Queens
